第一部	الْجُزْءُ الْأَوَّل
迷路，外道；非穆民所走的路	طَرِيقُ الْغِوَايَةِ، غَيْرَ سَبِيلِ الْمُؤْمِنِينَ
棉花	كُرْسُفٌ (مِثْلَ الْقُطْنِ ونَحْوِه)؛ قَصَّةٌ، فَرْصَةٌ
名人行善，止人作恶，劝善戒恶，名人好干，止人干歹	الْأَمْرُ بِالْمَعْرُوفِ وَالنَّهْيُ عَنِ الْمُنْكَرِ
命名，起名	التَّسْمِيَةُ
穆圣的默认	إِقْرَارُ النَّبِيِّ
穆圣的言行	قَوْلُ النَّبِيِّ وَفِعْلُهُ
穆圣禁止我们	جَدَبَ لَنَا رَسُولُ الله  أي: "نَهَانا عَنْ شَئٍ مُعَيَّنٍ"
穆斯林，伊斯兰教徒	مُسْلِمٌ ج مُسْلِمُونَ
穆斯林群众，穆斯林群体；稳麦[阿]	جَمَاعَةُ الْمُسْلِمِينَ، جُمُوعُ الْمُسْلِمِين، جُمْهُورُ الْأُمَّةِ
纳劝化，接纳忠言	قَبِلَ النَّصِيحَةَ، تَقَبَّلَهَا
男人羞体的界限	حَدُّ الْعَوْرَةِ مِنَ الرَّجُلِ
你们奉命让人容易，并非让人为难	بُعِثْتُم مُّيَسِّرِينَ وَلَمْ تُبْعَثُوا مُعَسِّرِينَ(جُزْءٌ مِن حَدِيث)
你们祝福穆圣吧！（圣训中的一段话）	صَلُّوا عَلَى النَّبِيّ !
念经，诵读《古兰经》	تَلَى يَتْلُوا تِلَاوَةً (الْقُرْآن)
浓白水，白粘液；外吉[阿]	وَدْيٌ (الْمَاءُ الْخَارِجُ مِنَ الذَّكَرِ عَلَى غَيْرِ سَبِيلِ الِاحْتِلَامِ)
女人洗大净的形式	غُسْلُ الْمَرْأَةِ، هَيْئَةُ الْغُسْلِ، كَيْفِيَّةُ غُسْلِ الْمَرْأَةِ
品德；司发特[阿]	أَخْلَاقٌ، صِفَاتٌ
仆民；阿卜杜拉[阿]；安拉仆人	عَبْدٌ ج عَبِيدٌ وَعِبَادٌ(للهِ)
仆人，奴隶，奴仆；马木留克[阿]	عَبْدٌ ج عبيدٌ وعُبُدٌ وأعْبُدٌ وعُبْدَانٌ، مَمْلُوكٌ ج مَمَالِيكٌ، رَقِيقٌ ج أَرِقَّاءٌ م رَقِيقَةٌ ج رَقِيقَاتٌ ورَقَائِق
祈祷；向真主的祈求；都阿，杜阿[阿]	دُعَاءٌ ج أَدْعِيَةٌ
虔诚敬意，诚心诚意，忠诚地	بِإِخْلَاصٍ
轻微的可憎	كَرَاهَةٌ تَنزِيهِيَّةٌ
清除污秽	إِزَالَةُ الْخَبَثِ أَو النَّجَسِ
清洁的土	صَعِيدًا طَيِّبًا، تُرَابًا طَاهِرًا
清洁是伊玛尼 ‘信仰’的一半	الطُّهُورُ شَطْرُ الْإِيمَانِ
清洁卫生；塔哈拉[阿]	الطَّهَارَةُ
清洁者，无大、小净者	الْمُتَطَهِّر
清真大寺	جَامِعٌ ج جَوَامِعٌ، مَسْجِدٌ جَامِعٌ
求主，祈祷，祈求；都阿[阿]	دَعَي يَدْعُوا دَعْوَةً؛ دُعَاءٌ ج أَدْعِيَةٌ
求主护佑；艾欧足，哀欧足[阿]	اسْتَعَاذَ يَسْتَعِيذُ اسْتِعَاذَةً، أَعُوذُ، تَعَوَّذَ؛ أَطْلُبُ الْعَوْنَ مِنَ اللهِ
求主回赐！，愿真主回赐你！	جَزَاكَ اللهُ خَيْرًا !
劝诫；瓦尔兹[阿]	وَعَظَ يعِظُ مَوْعِظَةً وَوَعْظًا
饶恕，恕饶，宽恕	غَفَرَ يَغْفِرُ غُفْرَانًا الْغُفْرَانُ، عَفَا يَعْفُوا عَفْوًا الْعَفْوُ، الصَّفْحُ
善功	الْأَعْمَالُ الصَّالِحَةُ، الْعِبَادَاتُ
善功，好做	عَمَلٌ صَالِحٌ ج أَعْمَالٌ صَالِحَةٌ (مكرر)
善行；伊赫桑[阿]	إِحْسَانٌ، الْعَمَلُ الصَّالِحُ
善行无效，善功化为无有，	حُبْطُ الْعَمَل
赦免，原谅，饶恕	غَفَرَ يَغْفِرُ غُفْرَانًا الْغُفْرَانُ
身体污秽	نَجَاسَةٌ بَدَنِيَّةٌ أو حِسِّيَّةٌ
圣裔，先知的家属，圣人亲属	أَهْلُ الْبَيْتِ، عِتْرَةُ النَّبِيِّ
十倍的报酬	عَشْرَةُ أَمْثَالٍ، فَلَهُ عَشْرُ أَمْثَالِهَا
顺从嗜欲（shìyù）或私欲 说色拉姆[	اتَّبَعَ الشَّهَوَات
中阿]；即：说“愿真主的平安和仁慈与你同在。”	التَّسْلِيمُ (في آخِرِ الصَّلَاةِ)
死亡，归真，去世，无常；冒台，毛梯[阿]	مَاتَ يَمُوتُ مَوْتًا الْمَوْتُ
颂扬真主，赞主清净	تَنْزِيهُ اللهِ أَو تَسْبِيحُهُ
他的声音比你的声音更动听，他的声音更悦耳动听，念经动听	أَنْدَى مِنْكَ صَوْتًا
太阳偏斜的时候	أَقْبَلَ الْفَئُ، أَو زَالَتِ الشَّمْسُ وَبَدَأَ الظِّلُّ
探望陵园，拜访麻札，麻札朝拜[苏]	زِيَارَةُ الْأَضْرِحَةِ (عِندَ الصُّوفِيَّة)
剃阴毛（五件惯礼之一）	الِاسْتِحْدَادُ (أحَدُ سُنَنِ الْفِطْرَةِ الْخَمْسَة)
天启法律，主命，神法[基]，；瓦吉布[阿]	شَرْعٌ، وَاجِبٌ ج وَاجِبَاتٌ
徒劳无酬，工作无效	لَا ثَوَابَ عَلَيْهِ (مِنْ فِعْلٍ أَو قَوْل)
完人，全人	كَامِلٌ، إِنْسَانٌ كَامِلٌ
万般行事，全凭立意	إِنَّمَا الْأعْمَالُ بِالنِّيَّات
万事之首	مِلَاكُ الْأَمْرِ
亡人；埋体[阿]	مَيِّتٌ ج أَمْوَاتٌ
为真主而恨某人	كَرِهَ فُلَانًا فِي اللهِ أو مِنْ أَجْلِ اللهِ
伪信，伪信者；穆纳菲格[阿]	نَافَقَ يُنَافِقُ نِفَاقًا النِّفَاقُ ص مُنَافِقٌ
污垢	نَجِسَ يَنجَسُ نَجَسًا ص نَجِسٌ و نَجَسٌ
污秽物 （阻止礼拜有效的赃物，如：尿液、血液、酒等）	نَجَسٌ ج نَجَاسَاتٌ (قدْرٌ معَيَّنٌ يَمْنَعُ جِنْسُهُ الصَّلَاةَ، كَالْبَوْلِ، وَالدَّمِ، وَالْخَمْرِ وَنَحْوِهَا)
无大净	جُنُبٌ (مُحْدِثٌ حَدَثَا أَكْبَر)
无大净者（务必做大净的人）	الْجُنُبُ، الْمُحْدِثُ (حَدَثًا أَكْبَر، أي: مَنْ يَجِبُ عَلَيْهِ الْغُسْل)
无大净者应禁忌的事项	مَا يُحْرَمُ عَلَى الْجُنُبِ
无妨，无碍	لَا حَرَجَ، لَا إِثْمَ، لَا ذَنْبَ، لَا مَانِع
无水土者	فَاقِدُ الطَّهُورَيْنِ
无小净的人	مُحْدِثٌ (حَدثٌ أَصْغَرٌ، أي: غيْرُ مُتَوَضِّئٍ)
先贤们	السَّلَفُ
先知；纳比，乃宾衣[阿]	نَبِيٌّ ج أَنْبِيَاءٌ
小净；阿布德斯，阿布戴斯，阿卜代斯[波]，喔都[阿]	وُضُوءٌ، أبوداست (فارسي)
小净水；洁净物	الطَّهُورُ؛ الْوَضُوءُ
小净无效，小净不成	وُضُوءٌ بَاطِلٌ
新生异端者	مُبْتَدِعٌ ج مُبْتَدِعُونَ ومُبْتَدِعَةٌ
兄弟；伊赫瓦尼[阿]	أَخٌ ج أُخْوَانٌ و إخْوَانٌ و أُخْوَة و إخْوَة ، مـ أَخَوانِ، م أُخْت ج أَخَوات
玄石，黑石	الْحَجَرُ الْأَسْوَدُ، الْحَجَرُ الْأَسْعَدُ
血金，罚金；迪叶[阿]	دِيَةٌ و دِيَّةٌ ج دِيَّاتٌ (الَّتِي تُدْفَعُ عَنِ الْقَتِيل)
牙刷棒；米斯瓦克[阿]（一种树枝制成的细棍，用来清洁牙齿和口腔。生在阿拉伯半岛内）	سِوَاكٌ ج سُوكٌ و سُوُكٌ و أَسْوِكَةٌ، عُودُ الْأَرَاكِ، مِسْوَاكٌ ج مَسَاوِيكٌ (عُودٌ يُتَّخَذُ مِن شَجَرِ الْأَرَاكِ وَنَحْوِهِ يُسْتَاكُ بِهِ، وَشَجَرَةُ الْأَرَاكِ تَنْبُتُ فِي الْجَزِيرَةِ الْعَرَبِيَّةِ)
伊斯兰五功，外五常[伊佛]	أَرْكَانُ الْإِسْلَامِ الْخَمْسَة، الْأَرْكَانُ الْخَمْسَةُ
依据，明证	دَلِيلٌ ج أَدِلَّةٌ و دَلَائِلٌ و أَدِلاَّءٌ، حُجَّةٌ ج حُجَجٌ، بُرْهَانٌ ج بَرَاهِينٌ
以真理派遣你的真主起誓	وَالَّذِي بَعَثَكَ بِالْحَقِّ
义务的行为，主命，当然；瓦吉卜[阿]（教法授责判定之一）	وَاجِبٌ ج وَاجِبَاتٌ (أَحَدُ الْأَحْكَامِ التَّكْلِيفِيَّة الشَّرْعِيَّة)
异端，标新立异	بِدْعَةٌ ج بِدَعٌ و بِدْعَاتٌ( ما استُحْدِث فِي الدِّين)
异端邪说或行为	مُحْدَثٌ (مَا لَم يَكُنْ مَعْرُوفًا فِي كِتَابٍ وَلَا سُنَّةٍ وَلَا إِجْمَاعٍ)، بِدْعَةٌ ج بِدَعٌ و بِدْعَاتٌ
意见；赖艾伊[阿]	رَأْيٌ ج آراءٌ
饮酒	شُرْبُ الْخَمْرِ، مُعَاقَرَتُها
用土擦净，打泰阳门[中阿]	التَّيَمُّمُ أَو الْمَسْحُ بِالتُّرَابِ
优越性，为最贵	أَفْضَلِيَّةٌ
犹太教的号角	قَرْنُ الْيَهُودِ أَو بُوقُهُم
犹太教徒和基督教徒，犹基两教徒，有经典教徒	الْيَهُودُ وَالنَّصَارَى، أَهْلُ الْكِتَابِ (عِنْدَ الْإِطْلَاق)
游牧民，乡下的人，没有文化的人，不识字，文盲	أَعْرَابٌ وعُرْبَانٌ ج أَعَارِيب م أَعْرَابِيٌّ، أَهْلُ الْبَادِيَةِ، أَهْلُ الرِّيفِ
愿真主赐福给他并使他平，愿主福安之；索兰拉乎•阿莱希•沃•赛莱迈[阿]	صَلَّى اللهُ عَلَيْهِ وَسَلَّم
赞念，赞颂；念泽克尔，泽克尔，迪克尔，寂克勒[阿]	الذِّكْرُ، التَّسْبِيحُ
增恶的行为；马克鲁赫，麦克鲁海[阿]	مَكْرُوهٌ ج مَكْرُوهَاتٌ (أَحَدُ الْأَحْكَامِ التَّكْلِيفِيَّةِ الَّذِي جَازَ فِعْلَهُ أَو تَرْكَهُ لَكِنَّ فِعْلُهُ مَرْجُوحٌ وَتَرْكُهُ أَرْجَحٌ)
真主回赐你吉庆！	بَارَكَ اللهُ فِيكَ
正道，正路	الْهُدَى، الصِّرَاطُ الْمُسْتَقِيمُ
证据，明证	بُرْهَانٌ ج بَرَاهِينٌ، دَلِيلٌ ج أَدِلَّةٌ
证明	دَلَّ عَلى أو أَثْبَت
知识，学问；伊勒木[阿]	عِلْمٌ ج عُلٌومٌ
重复三遍，他连说三次，	قَاَلهَا ثَلَاثًا
主命；法尔德[阿]	فرْضٌ ج فُرُوضٌ و فَرَائِضٌ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
主人；卡伊姆[阿]	قَائِمٌ، سَيّدٌ ج سَادَةٌ و سَادَاتٌ، مَالِكٌ لِلشَّئِ
煮熟过的猪皮	جِلْدُ الْخَنْزِيرِ الْمَدْبُوغِ
准许的行为；穆巴赫[阿]	مُبَاحٌ ج مُبَاحَاتٌ (مَا وَجَبَ التَّخْيِيرُ فِيهِ بَيْنَ تَنْفِيذِهِ أَوْ تَرْكِهِ، إِذْ لَيْسَ ضَرُورِيًّا فِعْلُهُ أَوْ تَرْكُهُ)
宗教；丁[阿]，迪尼	دِينٌ ج أَدْيَانٌ
宗教功修；仪巴达特[阿]	عِبَادَةٌ ج عِبَادَاتٌ
罪恶	جُنَاحٌ أو إثْمٌ، مُنْكَرٌ ج مُنْكَرَاتٌ
尊贵的古兰，《古兰经》	الْقُرْآنُ الْكَرِيمُ
尊贵的麦加，禁城	مَكَّةَ الْمُكَرَّمَةَ
教义	الْعَقِيدَة
阿甸园(*diān*）（天堂之名）	جَنَّةُ عَدْنٍ ج جَنَّاتُ عَدْنٍ (أَحَدُ أَسْمَاءِ الجَنَّة)
阿敏，阿米乃[阿]，阿门；即祈求真主接受祈祷。	آمين (أي: اللَّهُمَّ اسْتَجِب)
安拉，阿拉，安拉胡[阿]；真主；胡达[波]；上帝[基]	اللهُ، الْإِلَهُ، الرَّبُّ "في الْمَسِيحِيَّة"
安拉的属性，安拉的德性	صِفَاتُ اللهِ
安拉的天堂，占乃提”	جَنَّةُ اللهِ، الْجَنَّةُ ج جَنَّاتٌ و جِنَانٌ (مَسْكَنُ أَهْلِ الْإِيمَانِ فِي الآخِرَةِ)
安拉美名，安拉尊名	أَسْمَاءُ اللهِ الحُسْنَى
八座天堂	الْجِنَانُ الثَّمَانِيَةُ (دَرَجَاتُ الْجَنَّةِ الثَّمَانِيَةِ)
拜火教徒	مَجُوسِيٌّ ج مَجُوسٌ
颁降，降示，启示	أَوْحَى يُوحِي وَحْيًا الْوَحْيُ، أَنْزَلَ وَحْيًا
报应，恶报	جَزَى يَجْزِي مُجَازَاةً (بالشر)
报应日，审判日，清算日	يَوْمُ الدِّينِ (أَحَدُ أَسْمَاءِ يَومُ القِيَامَة)
被保护的仙牌；劳海·买罕福宰[阿]	اللَّوْحُ الْمَحْفُوظُ(مَا يُكْتَبُ فِيهِ وَيَظَلُّ مَصُونًا)
被期待的伊玛目；马赫迪.蒙塔扎尔[阿] (伊斯兰教认为是穆圣教徒们之一，在末日临近时，将出现的一位公正的判决者，在大地主持公道，移除不义）	الْمَهْدِي الْمُنْتَظَرُ (رَجُلٌ مُصْلِحٌ مِنْ أُمَّةِ مُحَمَّدٍ ، يَمْلَاُ الدُّنْيَا قِسْطًا وَعَدْلًا بَعْدَ أَنْ مُلِئَتْ جُورًا وَظُلْمًا)
本人，性命[苏]	الذَّاتُ (مُصْطَلَحٌ صُوفِيٌّ)
不信道者，非信士；卡非尔[阿]	كَافِرٌ ج كَافِرُونَ و كَفَرَةٌ و كُفَّارٌ، مـ كَافِرَةٌ جـ كَافِرَاتٌ و كَوَافِرٌ
参悟，猜悟，领悟	تَدَبَّرَ يتَدَبَّرُ تَدَبُّرًا التَّدَبُّر (فِي نِعَمِ الله)، التَّفَكُّر، التَّدَبُّرُ
崇拜偶像，拜像，	عِبَادَةُ الْأَصْنَامِ
吹角天使；吹苏勒的天使 [中阿]；伊斯拉菲莱	إِسْرَافِيلُ (الْمَلَكُ الْمُوَكَّلُ بِالنَّفْخِ فِي الصُّورِ)
打算，清算	حَاسَبَ يُحَاسِب مُحَاسَبةً الْحِسَابُ (يَوْمُ الْقِيَامَةِ)
等级，品级；居室，单元；曼吉尔[阿]	مَنْزِلٌ ج مَنَازِلٌ، دَرَجَةٌ ج دَرَجَاتٌ
谛言，清真言	الشَّهَادَتَيْنِ، شَهَادَةُ التَّوْحِيدِ، كَلِمَةُ التَّوْحِيدِ
定然，前定，定夺；盖德尔[阿]，卡达尔	الْقَضَاءُ وَالْقَدَرُ
恶魔，撒旦；晒衣陀乃，晒依陀尼[阿]	شَّيْطَانٌ ج شَيَاطِينٌ
恶魔的行为	عَمَلُ الشَّيْطَانِ أَوْ فِعْلُهُ، وَسْوَسَةُ الشَّيْطَانِ
恶魔战胜他们（《古兰经》中的一段经文）	اسْتَحْوَذَ عَلَيْهِمُ الشَّيْطَانُ(بَعْضُ آيَةٍ مِنَ الْقُرْآن)
尔撒的预言	بِشَارَةُ عِيسَى
分信（六大信仰）	إِيمَانٌ (تَفْصِيلِي: الْإِيمَانُ بِأَرْكَانِ الْإِيمَانِ السَّتَّةِ)
封印，最后的圣人	خَاتَم، (النَّبِيّ) الْخَاتَم
封印圣人	خَاتَمُ الْأَنْبِيَاءِ
封印使者	خَاتَمُ الْمُرْسَلِينَ
否定配偶	نَفْيُ الشَّرِيكِ
否认礼拜为主命者	مُنْكِرُ فَرْضِيَّةُ الصَّلَاةِ أو جَاحِدُهَا
否认者，叛逆者，非信士；即：不信真主一些教规者	مُعَطِّلٌ ج مُعَطِّلَةٌ، كَفَرَةٌ
复命归真，归真，死了，无常	أَسْلَمَ رُوحَهُ للهِ، عَادَ إِلَى اللهِ، تُوُفِّيَ
给养的天使；米卡伊莱[阿]	مِيكَائِيل، مِيكَال (الْمَلَكُ الْمُوَكَّلُ بِالْأَرْزَاقِ)
功过薄，文卷（清算日的好薄或恶薄的总称）	صَحِيفَةُ الْعَبْدِ، كِتَابُهُ (اسْمٌ لِلسِّجِّيل وَالْعِلِّيينَ أي: صَحَائِفُ السَّيِّئَاتِ وَالْحَسَنَاتِ فِي يَوْمِ الْحِسَاب)
古兰经；经典（指：安拉所启示的天经，如：《古兰经》、《圣经》等）	الْقُرْآنُ الْكَرِيمُ
行善天仙，善功天使；蒙卡尔[阿]（记录行善的天仙）	مُنكَرٌ* (الْمَلَكُ الْمُوَكَّلُ بِتَسْجِيلِ الْحَسَنات)
回赐	ثَوَابٌ؛ أَثَابَ يُثِيبُ إِثَابَةً وثَوَابًا
火狱，地狱	النَّارُ
火狱的天使，管理火狱的天仙；马立克[阿]	مَالِكُ (خَازِنُ النَّار)
吉庆，吉祥，祝福；拜拉卡提[阿]	بَرَكَةٌ ج بَرَكَاتٌ
戛毕勒（阿丹儿子之一，《古拉经》（在宴席章记载他们的故事）	قَابِيل (أَحَدُ وَلَدَيّ آدم عليه السلام؛ ذَكَر الْقُرْآنَ قِصَّتَهُما فِي سُورَةِ الْمَائِدَة)
颉伯勒莱天使；哲伯伊莱；天启的天使	جِبْرِيل، الْمَلَكُ جِبْرِيل، جِبْرَائيل
经典，天经（指：安拉所启示的天经，如：《古兰经》、《旧约》、《新约》等）	الكُتُبُ المُقَدَّسَةُ ( مِثْلُ الْقُرْآنِ و التَّوْرَاةِ وَالْإِنْجِيلِ)
精灵，灵魂；精尼，镇尼[阿]；鲁哈[阿]	الْجِنُّ، رُوحٌ ج أَرْوَاحٌ
精神污秽	نَجَاسَةٌ رُوْحِيَّةٌ
警告者	النَّذِيرُ
开拜祝词，开拜词，开拜杜瓦[中阿]	دُعَاءُ الِاسْتِفْتَاحِ
考验，甄别（zhēn），危难	مِحْنَةٌ ج مِحْنَاتٌ و مِحَنٌ
克尔白[阿]；天房	الْكَعْبَةُ
乐土；参见：“占乃提”	دَارُ السَّعَادَةِ (راجع مادة: الْجَنَّةُ)
乐园，天堂，天园；达尔·色兰[阿]	دَارُ السَّلَامِ (اسْمٌ مِنْ أَسْمَاءِ الْجَنَّةُ)
乐园的宝藏之一	كَنْزٌ مِنْ كُنُوزِ الْجَنَّةِ
勒兹瓦尼&马力克（火狱和天堂的守护两个天仙）	رِضْوَانٌ وَ مَالِكٌ (خَازِنُ الْجَنَّةِ وَخَازِنُ النَّارِ)
黎明天亮时做晨拜	أَسْفَرَ بِصَلَاةِ الصُّبْحِ؛ عَكْسُ أَغْلَسَ بالصَّلاةِ
礼拜；撒拉特[阿]	الصَّلَاةُ
礼拜比睡觉好！（伊斯兰宣礼）	الصَّلَاةُ خَيْرٌ مِنَ النَّوْمِ!! (مِنَ الْأَذان)
礼拜场，礼拜殿，礼拜院，礼拜所，礼拜间，礼拜处，清真寺；麦斯吉德[阿]	مُصَلَّى، مَوْضِعُ الصَّلَاةِ، مَسْجِدٌ ج مَسَاجِدٌ
礼拜的条件	شَرَائِطُ الصَّلَاةِ
礼拜方向（简写：拜向），朝向	الْقِبْلَةُ
礼拜者，礼拜人	مُصَلٍّ ج مُصَلُّونَ
礼一番拜后，再等礼另一番拜	انْتِظَارُ الصَّلَاةِ بَعْدَ الصَّلَاةِ
炼狱（火狱的别称）	حَمِيمٌ، النَّارُ (اسمٌ مِن أَسْمَاءِ النَّار)
灵魂；鲁哈[阿]	الرُّوحُ
六大信仰（信安拉、信天使、信天经、信使者、信后世和信前定）	أَرْكَانُ الْإِيمَانِ السَّتَّةِ ( الْإِيمَانُ بـ: اللهِ، وَالمَلائِكَةِ، وَالكُتُبِ، وَالرُّسُلِ، وَالْيَوْمِ الْآخِرِ، وَالْقَدَرِ)
